"Code";"Country_name";"Year";"Mobile_vs_Internet"
"AGO";"Angola";"2020";1.2169382514978022
"LVA";"Latvia";"2020";1.2163559603434373
"AUS";"Australia";"2020";1.1935879376010852
"AZE";"Azerbaijan";"2020";1.1888537846494742
"BHR";"Bahrain";"2020";1.1874711394811897
"BRA";"Brazil";"2020";1.186916203436743
"ISL";"Iceland";"2020";1.1607894990565129
"USA";"United States";"2020";1.1509835013545229
"IRL";"Ireland";"2020";1.150227560911826
"KIR";"Kiribati";"2020";1.1373491468997088
"NOR";"Norway";"2020";1.116345114631959
"CYP";"Cyprus";"2020";1.1034519582454547
"BEL";"Belgium";"2020";1.0895577395577396
"MKD";"North Macedonia";"2020";1.0835656054884115
"DOM";"Dominican Republic";"2020";1.0627575738230517
"LBN";"Lebanon";"2020";0.9004098670451778
"CAN";"Canada";"2020";0.8807671056893309
"CUB";"Cuba";"2020";0.7966220668196511
"DJI";"Djibouti";"2020";0.6748098557826853
"ABW";"Aruba";"2020";0.0
"AND";"Andorra";"2020";0.0
"ASM";"American Samoa";"2020";0.0
"ATG";"Antigua and Barbuda";"2020";0.0
"BLZ";"Belize";"2020";0.0
"BMU";"Bermuda";"2020";0.0
"BRB";"Barbados";"2020";0.0
"CIV";"Cote d'Ivoire";"2020";0.0
"COG";"Congo";"2020";0.0
"COM";"Comoros";"2020";0.0
"CUW";"Curacao";"2020";0.0
"CYM";"Cayman Islands";"2020";0.0
"DMA";"Dominica";"2020";0.0
"ERI";"Eritrea";"2020";0.0
"FJI";"Fiji";"2020";0.0
"FRO";"Faeroe Islands";"2020";0.0
"FSM";"Micronesia (country)";"2020";0.0
"GIB";"Gibraltar";"2020";0.0
"GNQ";"Equatorial Guinea";"2020";0.0
"GRL";"Greenland";"2020";0.0
"GUM";"Guam";"2020";0.0
"GUY";"Guyana";"2020";0.0
"IRQ";"Iraq";"2020";0.0
"JAM";"Jamaica";"2020";0.0
"JOR";"Jordan";"2020";0.0
"KGZ";"Kyrgyzstan";"2020";0.0
"KHM";"Cambodia";"2020";0.0
"KNA";"Saint Kitts and Nevis";"2020";0.0
"LBY";"Libya";"2020";0.0
"LIE";"Liechtenstein";"2020";0.0
"MCO";"Monaco";"2020";0.0
"MDA";"Moldova";"2020";0.0
"MDG";"Madagascar";"2020";0.0
"MHL";"Marshall Islands";"2020";0.0
"MNP";"Northern Mariana Islands";"2020";0.0
"MWI";"Malawi";"2020";0.0
"NCL";"New Caledonia";"2020";0.0
"NER";"Niger";"2020";0.0
"NRU";"Nauru";"2020";0.0
"PLW";"Palau";"2020";0.0
"PNG";"Papua New Guinea";"2020";0.0
"PRI";"Puerto Rico";"2020";0.0
"PRK";"North Korea";"2020";0.0
"PSE";"Palestine";"2020";0.0
"PYF";"French Polynesia";"2020";0.0
"SLB";"Solomon Islands";"2020";0.0
"SMR";"San Marino";"2020";0.0
"SOM";"Somalia";"2020";0.0
"SWZ";"Eswatini";"2020";0.0
"TCA";"Turks and Caicos Islands";"2020";0.0
"TJK";"Tajikistan";"2020";0.0
"TKM";"Turkmenistan";"2020";0.0
"TON";"Tonga";"2020";0.0
"TTO";"Trinidad and Tobago";"2020";0.0
"TUV";"Tuvalu";"2020";0.0
"VCT";"Saint Vincent and the Grenadines";"2020";0.0
"VEN";"Venezuela";"2020";0.0
"VGB";"British Virgin Islands";"2020";0.0
"VIR";"United States Virgin Islands";"2020";0.0
"VUT";"Vanuatu";"2020";0.0
"WSM";"Samoa";"2020";0.0
"YEM";"Yemen";"2020";0.0
